"artist_name","track_name","album_name","danceability","track_number","lyric"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Cursing my name, wishing I stayed"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"You turned into your worst fears"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And you're tossing out blame, drunk on this pain"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Crossing out the good years"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And you're cursing my name, wishing I stayed"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Look at how my tears ricochet"
"Taylor Swift","mirrorball","folklore",0.553,6,"I want you to know"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'm a mirrorball"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'll show you every version of yourself tonight"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'll get you out on the floor"
"Taylor Swift","mirrorball","folklore",0.553,6,"Shimmering beautiful"
"Taylor Swift","mirrorball","folklore",0.553,6,"And when I break, it's in a million pieces"
"Taylor Swift","mirrorball","folklore",0.553,6,"Hush, when no one is around, my dear"
"Taylor Swift","mirrorball","folklore",0.553,6,"You'll find me on my tallest tiptoes"
"Taylor Swift","mirrorball","folklore",0.553,6,"Spinning in my highest heels, love"
"Taylor Swift","mirrorball","folklore",0.553,6,"Shining just for you"
"Taylor Swift","mirrorball","folklore",0.553,6,"Hush, I know they said the end is near"
"Taylor Swift","mirrorball","folklore",0.553,6,"But I'm still on my tallest tiptoes"
"Taylor Swift","mirrorball","folklore",0.553,6,"Spinning in my highest heels, love"
"Taylor Swift","mirrorball","folklore",0.553,6,"Shining just for you"
"Taylor Swift","mirrorball","folklore",0.553,6,"I want you to know"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'm a mirrorball"
"Taylor Swift","mirrorball","folklore",0.553,6,"I can change everything about me to fit in"
"Taylor Swift","mirrorball","folklore",0.553,6,"You are not like the regulars"
"Taylor Swift","mirrorball","folklore",0.553,6,"The masquerade revelers"
"Taylor Swift","mirrorball","folklore",0.553,6,"Drunk as they watch my shattered edges glisten"
"Taylor Swift","mirrorball","folklore",0.553,6,"Hush, when no one is around, my dear"
"Taylor Swift","mirrorball","folklore",0.553,6,"You'll find me on my tallest tiptoes"
"Taylor Swift","mirrorball","folklore",0.553,6,"Spinning in my highest heels, love"
"Taylor Swift","mirrorball","folklore",0.553,6,"Shining just for you"
"Taylor Swift","mirrorball","folklore",0.553,6,"Hush, I know they said the end is near"
"Taylor Swift","mirrorball","folklore",0.553,6,"But I'm still on my tallest tiptoes"
"Taylor Swift","mirrorball","folklore",0.553,6,"Spinning in my highest heels, love"
"Taylor Swift","mirrorball","folklore",0.553,6,"Shining just for you"
"Taylor Swift","mirrorball","folklore",0.553,6,"And they called off the circus, burned the disco down"
"Taylor Swift","mirrorball","folklore",0.553,6,"When they sent home the horses and the rodeo clowns"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'm still on that tightrope"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'm still trying everything to get you laughing at me"
"Taylor Swift","mirrorball","folklore",0.553,6,"And I'm still a believer, but I don't know why"
"Taylor Swift","mirrorball","folklore",0.553,6,"I've never been a natural, all I do is try, try, try"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'm still on that trapeze"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'm still trying everything to keep you looking at me"
"Taylor Swift","mirrorball","folklore",0.553,6,"Because I'm a mirrorball"
"Taylor Swift","mirrorball","folklore",0.553,6,"I'm a mirrorball"
"Taylor Swift","mirrorball","folklore",0.553,6,"And I'll show you every version of yourself tonight"
"Taylor Swift","seven","folklore",0.596,7,"Please picture me in the trees"
"Taylor Swift","seven","folklore",0.596,7,"I hit my peak at seven"
"Taylor Swift","seven","folklore",0.596,7,"Feet in the swing over the creek"
"Taylor Swift","seven","folklore",0.596,7,"I was too scared to jump in"
"Taylor Swift","seven","folklore",0.596,7,"But I, I was high in the sky"
"Taylor Swift","seven","folklore",0.596,7,"With Pennsylvania under me"
"Taylor Swift","seven","folklore",0.596,7,"Are there still beautiful things?"
"Taylor Swift","seven","folklore",0.596,7,"Sweet tea in the summer"
"Taylor Swift","seven","folklore",0.596,7,"Cross your heart, won't tell no other"
"Taylor Swift","seven","folklore",0.596,7,"And though I can't recall your face"
"Taylor Swift","seven","folklore",0.596,7,"I still got love for you"
"Taylor Swift","seven","folklore",0.596,7,"Your braids like a pattern"
"Taylor Swift","seven","folklore",0.596,7,"Love you to the Moon and to Saturn"
"Taylor Swift","seven","folklore",0.596,7,"Passed down like folk songs"
"Taylor Swift","seven","folklore",0.596,7,"The love lasts so long"
"Taylor Swift","seven","folklore",0.596,7,"And I've been meaning to tell you"
"Taylor Swift","seven","folklore",0.596,7,"I think your house is haunted"
"Taylor Swift","seven","folklore",0.596,7,"Your dad is always mad and that must be why"
"Taylor Swift","seven","folklore",0.596,7,"And I think you should come live with me"
"Taylor Swift","seven","folklore",0.596,7,"And we can be pirates"
"Taylor Swift","seven","folklore",0.596,7,"Then you won't have to cry"
"Taylor Swift","seven","folklore",0.596,7,"Or hide in the closet"
"Taylor Swift","seven","folklore",0.596,7,"And just like a folk song"
"Taylor Swift","seven","folklore",0.596,7,"Our love will be passed on"
"Taylor Swift","seven","folklore",0.596,7,"Please picture me in the weeds"
"Taylor Swift","seven","folklore",0.596,7,"Before I learned civility"
"Taylor Swift","seven","folklore",0.596,7,"I used to scream ferociously"
"Taylor Swift","seven","folklore",0.596,7,"Any time I wanted"
"Taylor Swift","seven","folklore",0.596,7,"I, I"
"Taylor Swift","seven","folklore",0.596,7,"Sweet tea in the summer"
"Taylor Swift","seven","folklore",0.596,7,"Cross my heart, won't tell no other"
"Taylor Swift","seven","folklore",0.596,7,"And though I can't recall your face"
"Taylor Swift","seven","folklore",0.596,7,"I still got love for you"
"Taylor Swift","seven","folklore",0.596,7,"Pack your dolls and a sweater"
"Taylor Swift","seven","folklore",0.596,7,"We'll move to India forever"
"Taylor Swift","seven","folklore",0.596,7,"Passed down like folk songs"
"Taylor Swift","seven","folklore",0.596,7,"Our love lasts so long"
"Taylor Swift","august","folklore",0.532,8,"Salt air, and the rust on your door"
"Taylor Swift","august","folklore",0.532,8,"I never needed anything more"
"Taylor Swift","august","folklore",0.532,8,"Whispers of ""Are you sure?"""
"Taylor Swift","august","folklore",0.532,8,"""Never have I ever before"""
"Taylor Swift","august","folklore",0.532,8,"But I can see us lost in the memory"
"Taylor Swift","august","folklore",0.532,8,"August slipped away into a moment in time'Cause it was never mine"
"Taylor Swift","august","folklore",0.532,8,"And I can see us twisted in bedsheets"
"Taylor Swift","august","folklore",0.532,8,"August sipped away like a bottle of wine'Cause you were never mine"
"Taylor Swift","august","folklore",0.532,8,"Your back beneath the sun"
"Taylor Swift","august","folklore",0.532,8,"Wishin' I could write my name on it"
"Taylor Swift","august","folklore",0.532,8,"Will you call when you're back at school?"
"Taylor Swift","august","folklore",0.532,8,"I remember thinkin' I had you"
"Taylor Swift","august","folklore",0.532,8,"But I can see us lost in the memory"
"Taylor Swift","august","folklore",0.532,8,"August slipped away into a moment in time'Cause it was never mine"
"Taylor Swift","august","folklore",0.532,8,"And I can see us twisted in bedsheets"
"Taylor Swift","august","folklore",0.532,8,"August sipped away like a bottle of wine'Cause you were never mine"
"Taylor Swift","august","folklore",0.532,8,"Back when we were still changin' for the better"
"Taylor Swift","august","folklore",0.532,8,"Wanting was enough"
"Taylor Swift","august","folklore",0.532,8,"For me, it was enough"
"Taylor Swift","august","folklore",0.532,8,"To live for the hope of it all"
"Taylor Swift","august","folklore",0.532,8,"Cancel plans just in case you'd call"
"Taylor Swift","august","folklore",0.532,8,"And say, ""Meet me behind the mall""So much for summer love and saying ""us"""
"Taylor Swift","august","folklore",0.532,8,"'Cause you weren't mine to lose"
"Taylor Swift","august","folklore",0.532,8,"You weren't mine to lose, no"
"Taylor Swift","august","folklore",0.532,8,"But I can see us lost in the memory"
"Taylor Swift","august","folklore",0.532,8,"August slipped away into a moment in time'Cause it was never mine"
"Taylor Swift","august","folklore",0.532,8,"And I can see us twisted in bedsheets"
"Taylor Swift","august","folklore",0.532,8,"August sipped away like a bottle of wine'Cause you were never mine"
"Taylor Swift","august","folklore",0.532,8,"'Cause you were never mine"
"Taylor Swift","august","folklore",0.532,8,"Never mine"
