"artist_name","track_name","album_name","danceability","lyric"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You never gave a warning sign (I gave so many signs)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"All this time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I never learned to read your mind (Never learned to read my mind)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I couldn't turn things around (You never turned things around)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"'Cause you never gave a warning sign (I gave so many signs)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You never gave a warning sign (All this time)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"(So many times) I never learned to read your mind"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"(So many signs) I couldn't turn things around (I couldn't turn things around)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"'Cause you never gave a warning sign (You never gave a warning sign)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You never gave a warning sign"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Ah, ah"
"Taylor Swift","my tears ricochet","folklore",0.456,"We gather here, we line up, weepin' in a sunlit room"
"Taylor Swift","my tears ricochet","folklore",0.456,"And if I'm on fire, you'll be made of ashes, too"
"Taylor Swift","my tears ricochet","folklore",0.456,"Even on my worst day, did I deserve, babe"
"Taylor Swift","my tears ricochet","folklore",0.456,"All the hell you gave me?'Cause I loved you, I swear I loved you"
"Taylor Swift","my tears ricochet","folklore",0.456,"'Til my dying day"
"Taylor Swift","my tears ricochet","folklore",0.456,"I didn't have it in myself to go with grace"
"Taylor Swift","my tears ricochet","folklore",0.456,"And you're the hero flying around, saving face"
"Taylor Swift","my tears ricochet","folklore",0.456,"And if I'm dead to you, why are you at the wake?"
"Taylor Swift","my tears ricochet","folklore",0.456,"Cursing my name, wishing I stayed"
"Taylor Swift","my tears ricochet","folklore",0.456,"Look at how my tears ricochet"
"Taylor Swift","my tears ricochet","folklore",0.456,"We gather stones, never knowing what they'll mean"
"Taylor Swift","my tears ricochet","folklore",0.456,"Some to throw, some to make a diamond ring"
"Taylor Swift","my tears ricochet","folklore",0.456,"You know I didn't want to have to haunt you"
"Taylor Swift","my tears ricochet","folklore",0.456,"But what a ghostly scene"
"Taylor Swift","my tears ricochet","folklore",0.456,"You wear the same jewels that I gave you"
"Taylor Swift","my tears ricochet","folklore",0.456,"As you bury me"
"Taylor Swift","my tears ricochet","folklore",0.456,"I didn't have it in myself to go with grace'Cause when I'd fight, you used to tell me I was brave"
"Taylor Swift","my tears ricochet","folklore",0.456,"And if I'm dead to you, why are you at the wake?"
"Taylor Swift","my tears ricochet","folklore",0.456,"Cursing my name, wishing I stayed"
"Taylor Swift","my tears ricochet","folklore",0.456,"Look at how my tears ricochet"
"Taylor Swift","my tears ricochet","folklore",0.456,"And I can go anywhere I want"
"Taylor Swift","my tears ricochet","folklore",0.456,"Anywhere I want, just not home"
"Taylor Swift","my tears ricochet","folklore",0.456,"And you can aim for my heart, go for blood"
"Taylor Swift","my tears ricochet","folklore",0.456,"But you would still miss me in your bones"
"Taylor Swift","my tears ricochet","folklore",0.456,"And I still talk to you (When I'm screaming at the sky)"
"Taylor Swift","my tears ricochet","folklore",0.456,"And when you can't sleep at night (You hear my stolen lullabies)"
"Taylor Swift","my tears ricochet","folklore",0.456,"I didn't have it in myself to go with grace"
"Taylor Swift","my tears ricochet","folklore",0.456,"And so the battleships will sink beneath the waves"
"Taylor Swift","my tears ricochet","folklore",0.456,"You had to kill me, but it killed you just the same"
"Taylor Swift","my tears ricochet","folklore",0.456,"Cursing my name, wishing I stayed"
"Taylor Swift","my tears ricochet","folklore",0.456,"You turned into your worst fears"
"Taylor Swift","my tears ricochet","folklore",0.456,"And you're tossing out blame, drunk on this pain"
