"Program","Network","Rank","Rating","Year"
"Murphy Brown","CBS",6,16.9,1990
"Designing Women","CBS",10,16.5,1990
"Murder, She Wrote","CBS",12,16.4,1990
"CBS Sunday Movie","CBS",19,15,1990
"Major Dad","CBS",21,14.9,1990
"60 Minutes","CBS",1,21.9,1991
"Murphy Brown","CBS",3,18.6,1991
"Designing Women","CBS",6,17.3,1991
"Murder, She Wrote","CBS",8,16.9,1991
"Major Dad","CBS",9,16.8,1991
"CBS Sunday Night Movie","CBS",14,15.9,1991
"Evening Shade","CBS",15,15.6,1991
"Northern Exposure","CBS",16,15.5,1991
"Family Matters","CBS",27,13.5,1991
"48 Hours","CBS",29,13.2,1991
"60 Minutes","CBS",1,21.9,1992
"Murphy Brown","CBS",4,17.9,1992
"Murder, She Wrote","CBS",5,17.7,1992
"CBS Sunday Movie","CBS",8,16.1,1992
"Northern Exposure","CBS",11,15.2,1992
"Rescue 911","CBS",12,15.1,1992
"CBS Tuesday Movie","CBS",14,14.8,1992
"Love & War","CBS",15,14.7,1992
"Evening Shade","CBS",19,14.5,1992
"Hearts Afire","CBS",20,14.3,1992
"Dr. Quinn, Medicine Woman","CBS",23,14,1992
"48 Hours","CBS",26,13.5,1992
"60 Minutes","CBS",1,20.9,1993
"Murphy Brown","CBS",9,16.3,1993
"CBS Sunday Movie","CBS",10,16.2,1993
"Murder, She Wrote","CBS",11,16,1993
"Love & War","CBS",13,14.5,1993
"Northern Exposure","CBS",14,14.4,1993
"Dave's World","CBS",21,13.7,1993
"CBS Tuesday Movie","CBS",25,13.3,1993
"Evening Shade","CBS",27,13.2,1993
"Rescue 911","CBS",27,13.2,1993
"60 Minutes","CBS",6,17.2,1994
"Murder, She Wrote","CBS",8,15.6,1994
"Murphy Brown","CBS",16,14.1,1994
"CBS Sunday Movie","CBS",18,13.7,1994
"Dave's World","CBS",21,12.9,1994
"Cybill","CBS",22,12.8,1994
"The Nanny","CBS",24,12.5,1994
"Chicago Hope","CBS",29,11.7,1994
"60 Minutes","CBS",9,14.2,1995
"The Nanny","CBS",16,12.5,1995
"Walker, Texas Ranger","CBS",18,12.3,1995
"Murphy Brown","CBS",18,12.3,1995
"Chicago Hope","CBS",23,11.9,1995
